CharacterID,Character,Title,Creator,YearCreated,YearPeriod,WorksType,Company,OtherCreator
65,Marshall Will Kane,High Noon,Fred Zinnemann,1952,AD,Film,Stanley Kramer Productions,
66,Mother in Black Christ,The Black Christ in The Clack Christ & Other Poems,Countee Cullen,1929,AD,Poem,Harper & Brothers,
67,Mr. Freeze,Batman: The Animated Series,Multiple,1992,AD,TV show,Warner Bros. Animation,Bruce Timm; Eric Radomski
68,Mr. Smith,Mr. Smith Goes to Washington,Frank Capra,1939,AD,Film,Columbia Pictures,
69,Mr. Spock,Star Trek: The Original Series,Gene Roddenberry,1966,AD,TV show,NBC,
70,Mrs. Ramsay,To The Lighthouse,Virginia Woolf,1927,AD,Novel,Hogarth Press,
71,Fox Mulder,The X-Files,Chris Carter,1993,AD,TV show,Fox,
72,"Musician, Weary Blues",The Weary Blues in Urban League,Langston Hughes,1925,AD,Poem,Urban League,
73,Newman,Seinfeld,Larry David,1989,AD,TV show,NBC,
74,Obscure Youth,Ambition in Brother Jonathan,Walt Whitman,1842,AD,Poem,Brother Jonathan,
75,Perth,Moby Dick,Herman Melville,1851,AD,Novel,Harper & Brothers,
76,Quasimodo,The Hunchback of Notre Dame,Victor Hugo,1831,AD,Novel,Gosselin,
77,Waiting Man,The Rendezvous in Poems,Alan Seeger,1915,AD,Poem,Charles Scribner''s Sons,
78,Robert Barone,Everybody Loves Raymond,Philip Rosenthal,1996,AD,TV show,CBS,
79,Rogue,"X-Men, The Animated Series",Multiple,1992,AD,TV show,Fox,Eric Lewald; Sidney Iwanter; Mark Edens
80,Roz Doyle,Frasier,Multiple,1993,AD,TV show,NBC,David Angell; Peter Casey; David Lee
81,Ruth Younger,A Raisin in the Sun,Lorraine Hansberry,1959,AD,Play,Ethel Barrymore Theatre,
82,Santiago,The Old Man and the Sea,Ernest Hemingway,1951,AD,Novel,Charles Scribner''s Sons,
83,Seven of Nine,Star Trek: Voyager,Multiple,1995,AD,TV show,UPN,Rick Berman; Michael Piller; Jeri Taylor
84,Silver Surfer,Fantastic Four: The Animated Series,Multiple,1994,AD,TV show,The Marvel Action Hour,Jack Kirby; Stan Lee
85,Soap Opera Girl,Waking Life,Richard Linklater,2001,AD,Film,Thousand Words,
86,Soldier Boy,Suicide in the Trenches in Counter-Attack and Other Poems,Siegfried Sassoon ,1918,AD,Poem,E. P. Dutton & Company,
